date,epiweek,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2010-07-11,201028,13,160,242,231,165,56,30,145,204,400,358,227,1384,1186,21,672,387,426,448,319,46,0,3,50,62,256,63
2010-07-18,201029,22,197,170,174,219,65,24,168,187,417,304,242,1356,1016,15,572,302,389,352,239,28,0,1,41,83,235,50
2010-07-25,201030,25,165,143,156,170,83,37,196,142,358,271,193,1131,945,23,441,227,350,443,245,28,0,0,52,77,261,36
2010-08-01,201031,19,114,143,214,265,126,33,264,173,358,305,173,1002,794,19,431,196,388,388,187,24,1,6,52,76,232,41
2010-08-08,201032,23,105,188,206,306,91,31,328,148,366,307,166,934,734,32,403,146,354,415,175,10,1,2,33,62,279,31
2010-08-15,201033,15,94,128,149,317,121,27,367,98,335,210,145,726,813,18,398,135,316,295,136,31,1,2,43,55,330,20
2010-08-22,201034,17,78,117,92,281,113,17,314,87,305,181,163,570,580,23,257,134,257,291,110,23,0,2,52,48,297,23
2010-08-29,201035,21,114,97,92,252,94,19,252,111,317,202,139,395,579,13,283,113,223,252,113,34,0,3,55,66,293,17
2010-09-05,201036,25,121,102,92,292,99,20,269,102,362,212,132,371,498,14,272,123,166,171,111,36,0,1,61,63,348,21
2010-09-12,201037,14,151,76,87,227,76,11,193,100,348,186,108,272,434,12,253,130,207,185,113,34,0,1,53,87,351,16
2010-09-19,201038,12,200,99,66,264,80,8,155,90,299,166,145,265,442,21,219,118,179,142,117,41,1,4,60,61,442,26
2010-09-26,201039,23,172,126,30,260,57,10,156,77,315,162,120,208,363,11,236,129,166,150,82,36,0,0,57,66,586,31
2010-10-03,201040,22,164,112,23,257,109,7,125,47,414,169,109,156,316,11,197,96,142,89,83,35,2,2,53,62,528,30
2010-10-10,201041,34,202,113,22,344,78,21,119,48,509,182,118,138,345,11,194,83,184,110,103,30,0,0,56,60,458,15
2010-10-17,201042,37,262,117,32,294,47,20,107,40,443,159,97,134,297,17,230,112,182,94,89,40,2,1,48,89,505,20
2010-10-24,201043,56,319,76,20,257,71,18,53,34,309,137,85,155,295,15,193,90,163,108,94,64,0,0,51,73,463,13
2010-10-31,201044,127,535,124,11,364,68,71,68,55,372,142,92,141,301,17,223,148,185,148,111,59,2,1,79,107,468,21
2010-11-07,201045,132,621,175,24,382,41,82,74,55,498,165,97,139,293,21,312,162,252,193,104,66,0,0,116,135,584,17
2010-11-14,201046,179,786,302,27,501,49,95,103,53,605,176,93,180,296,23,404,187,327,214,127,76,1,4,86,178,684,22
2010-11-21,201047,193,849,353,23,578,28,100,72,55,569,180,106,170,167,28,443,243,367,318,168,91,0,0,127,199,651,18
2010-11-28,201048,215,960,351,17,635,53,111,65,56,777,180,81,148,95,18,531,341,430,407,218,151,3,2,114,279,814,17
2010-12-05,201049,307,1196,440,22,523,32,93,79,77,847,176,100,161,145,31,577,388,498,559,262,281,0,1,126,356,1054,27
2010-12-12,201050,238,1174,415,28,510,25,117,64,62,730,176,93,165,152,53,490,379,474,615,308,354,1,2,135,323,961,34
2010-12-19,201051,143,1592,478,26,430,27,84,80,79,627,188,78,140,111,24,419,413,395,514,284,293,0,1,140,186,690,39
2010-12-26,201052,135,1831,651,34,506,59,124,115,83,772,159,108,116,96,24,368,448,397,501,377,353,4,2,134,199,658,38
2011-01-02,201101,147,2139,1492,28,679,89,179,180,168,1131,206,163,139,127,27,585,690,442,823,523,305,4,3,191,280,826,57
2011-01-09,201102,169,2060,1948,34,794,153,197,214,184,1127,205,145,187,121,40,601,833,557,1026,665,423,5,0,194,281,942,69
2011-01-16,201103,173,2007,2356,40,865,129,218,286,153,1288,272,194,169,126,33,695,951,711,1306,953,672,5,8,225,286,1068,90
2011-01-23,201104,143,1594,3213,45,1066,142,245,306,205,1456,374,223,213,145,29,745,1133,809,1793,1172,830,7,5,299,286,1156,94
2011-01-30,201105,148,1457,3409,33,1243,173,269,420,311,1765,518,320,324,187,43,895,1311,960,2609,1955,1219,9,6,265,230,1263,106
2011-02-06,201106,132,1410,4629,37,1167,227,300,454,284,2027,598,370,405,253,61,1085,1439,1216,3977,2611,1477,5,2,269,210,1380,118
2011-02-13,201107,158,1189,5555,29,1138,171,223,472,234,2328,548,396,426,238,60,1119,1560,1288,4709,3026,1831,4,12,325,210,1234,106
2011-02-20,201108,126,912,7000,36,1030,126,243,383,240,2418,643,477,364,217,45,1054,1388,1278,4772,3455,2002,2,9,299,173,1083,94
2011-02-27,201109,124,771,6171,29,831,103,228,326,215,2527,723,459,391,244,35,1084,1220,1274,4326,4244,2271,8,10,306,182,1016,123
2011-03-06,201110,159,689,5353,27,764,118,280,333,285,2803,896,598,550,273,61,1302,1404,1194,4348,3632,2123,5,9,349,191,1017,144
2011-03-13,201111,150,641,4382,47,887,148,307,444,413,3471,1086,751,693,333,84,1660,1764,1359,6700,5618,2641,6,12,479,186,1180,130
2011-03-20,201112,163,651,3203,56,788,106,329,437,452,3747,1298,799,777,375,107,2004,2055,1989,9657,6575,2862,5,31,540,208,1438,176
2011-03-27,201113,174,548,2292,31,716,102,309,398,522,4052,1196,870,768,388,114,2034,1862,1721,11061,6504,2208,2,35,499,234,1421,164
2011-04-03,201114,119,453,1888,39,597,91,356,334,532,4653,1252,703,800,347,109,2173,2114,2024,13213,8853,1988,5,39,508,185,1503,169
2011-04-10,201115,125,321,1216,23,418,50,271,264,497,4193,1105,624,714,277,99,1836,1991,1918,12251,8662,1461,9,41,417,185,1378,184
2011-04-17,201116,93,204,827,24,270,47,242,239,374,3408,979,462,659,288,88,1516,1894,1638,10745,8366,1083,7,34,369,96,1179,148
2011-04-24,201117,58,127,596,21,302,37,285,224,431,2991,1062,443,555,235,113,1643,2034,1870,11531,10125,1301,11,23,437,84,1207,166
2011-05-01,201118,42,93,569,26,246,46,383,254,439,2616,982,400,630,296,76,1556,1998,2236,10445,7612,930,7,17,319,81,1268,151
2011-05-08,201119,48,102,573,17,238,27,418,358,494,2420,935,449,707,304,140,1577,2018,2230,9578,6318,597,6,10,194,77,1143,179
2011-05-15,201120,45,68,533,20,192,40,366,337,430,2139,870,446,667,261,152,1268,1526,1893,7989,5467,466,2,8,196,50,994,148
2011-05-22,201121,24,53,337,34,132,21,393,298,346,1639,781,382,594,179,126,1164,1019,1473,6131,3099,243,2,4,139,51,706,103
2011-05-29,201122,19,50,309,20,139,25,415,337,388,1227,817,392,570,222,103,1190,721,1347,4753,2043,169,4,4,98,46,581,79
2011-06-05,201123,16,30,280,34,115,20,318,364,355,989,848,290,488,201,90,939,531,1121,3168,1075,79,1,1,64,59,547,72
2011-06-12,201124,8,33,251,33,93,16,341,316,335,700,633,293,384,209,83,728,366,783,2299,674,43,0,1,37,67,348,56
2011-06-19,201125,7,18,254,24,71,11,206,280,244,583,445,214,357,132,90,487,262,585,1610,408,42,2,1,41,52,293,47
2011-06-26,201126,7,18,192,36,102,17,200,222,208,476,409,216,362,119,102,608,227,551,1330,383,24,0,1,16,45,230,22
2011-07-03,201127,8,14,114,34,77,11,189,229,203,364,388,160,292,102,94,523,182,409,960,215,10,1,1,20,33,219,25
2011-07-10,201128,14,15,139,45,54,10,155,252,167,301,331,139,260,128,87,490,138,285,775,177,21,1,0,19,48,224,26
2011-07-17,201129,5,16,131,39,81,5,129,232,144,275,257,114,242,96,112,399,114,283,589,169,11,2,2,22,54,231,30
2011-07-24,201130,5,10,136,17,72,9,92,234,111,282,228,117,217,120,96,354,126,264,489,136,20,1,0,22,46,192,40
2011-07-31,201131,19,10,116,26,76,15,109,282,119,226,256,83,225,111,84,340,110,228,337,111,10,1,1,12,37,207,33
2011-08-07,201132,21,18,118,31,82,15,105,270,117,176,176,75,230,148,75,295,97,203,332,116,12,0,2,22,45,190,36
2011-08-14,201133,9,13,99,26,103,16,110,253,86,190,163,64,172,129,76,239,98,186,339,97,14,0,0,18,44,180,26
2011-08-21,201134,11,9,77,24,82,11,98,251,95,170,126,50,131,85,61,211,78,102,279,83,12,0,0,16,32,182,22
2011-08-28,201135,9,10,91,20,110,11,98,165,102,135,88,59,155,101,65,213,82,98,230,109,14,2,3,16,56,155,37
2011-09-04,201136,14,9,62,20,99,16,90,120,90,158,103,52,172,128,57,190,82,95,274,113,16,0,2,21,67,155,13
2011-09-11,201137,21,11,91,12,83,12,93,104,70,143,91,37,157,114,70,180,103,103,298,114,15,1,1,16,56,187,36
2011-09-18,201138,14,7,55,14,101,9,92,82,59,140,77,40,149,104,35,179,99,90,353,147,14,0,0,15,62,246,40
2011-09-25,201139,20,11,74,12,100,18,104,52,49,139,88,24,165,112,39,181,102,99,389,138,28,0,0,35,62,258,35
2011-10-02,201140,18,9,69,15,61,4,55,60,47,135,79,33,171,115,57,214,89,69,377,162,20,1,0,24,51,290,13
2011-10-09,201141,18,11,55,11,103,14,75,52,59,118,83,34,174,100,55,191,86,85,434,118,14,0,0,24,54,309,40
2011-10-16,201142,13,12,62,17,102,21,91,33,47,127,79,21,196,101,56,189,133,92,388,136,29,1,1,30,84,352,26
2011-10-23,201143,8,18,53,13,99,3,97,59,33,112,101,23,207,116,47,184,142,115,555,130,31,0,0,31,62,384,23
2011-10-30,201144,32,24,60,14,156,8,74,54,70,138,115,26,239,91,46,238,168,159,497,113,31,0,2,23,102,329,23
2011-11-06,201145,20,13,100,8,185,4,76,42,88,121,105,27,292,84,41,226,199,184,601,111,40,0,1,42,102,311,30
2011-11-13,201146,26,34,153,19,287,19,94,51,93,117,108,32,301,71,46,233,182,135,514,154,34,1,0,47,135,373,26
2011-11-20,201147,29,41,127,19,302,7,138,77,82,138,105,24,308,124,62,309,236,132,757,132,50,6,1,50,162,362,28
2011-11-27,201148,36,51,164,23,256,3,169,56,103,177,89,28,393,127,77,340,224,139,753,162,68,2,3,41,167,475,29
2011-12-04,201149,36,40,129,27,343,1,204,72,94,208,130,28,444,156,82,350,301,180,977,216,49,3,3,58,188,553,36
2011-12-11,201150,39,41,125,41,385,1,205,79,91,174,154,28,481,202,100,527,295,203,1232,249,37,0,2,66,196,495,29
2011-12-18,201151,40,51,84,27,325,7,170,82,93,187,199,19,452,189,67,505,339,176,1131,286,38,2,3,73,163,407,20
2011-12-25,201152,25,51,128,21,293,3,178,63,70,198,160,14,428,254,85,449,323,138,1067,242,38,1,1,50,201,343,27
2012-01-01,201201,75,116,202,31,541,9,287,119,135,274,297,20,799,262,112,611,397,193,1558,328,33,5,6,96,306,505,28
2012-01-08,201202,84,78,198,38,534,8,392,147,180,412,264,25,757,257,85,833,511,221,1673,365,25,3,3,113,391,537,38
2012-01-15,201203,62,110,222,36,597,8,412,133,141,541,236,23,843,303,105,878,566,236,2075,358,33,4,6,122,440,548,43
2012-01-22,201204,59,76,199,39,667,11,430,125,143,524,306,41,900,367,103,857,559,214,2272,415,43,2,6,132,404,553,42
2012-01-29,201205,70,82,332,20,786,13,546,162,180,554,446,43,1062,386,133,865,602,188,2491,579,55,4,2,135,610,632,31
2012-02-05,201206,59,83,476,31,911,17,599,208,231,608,402,57,1263,364,172,1081,613,201,2937,645,67,8,5,126,583,640,49
2012-02-12,201207,75,103,240,22,652,10,574,161,146,566,364,24,1211,370,109,1065,534,176,3356,747,83,3,1,161,707,562,28
2012-02-19,201208,90,105,172,17,647,8,443,191,188,568,458,54,1462,392,147,1374,645,201,3914,837,114,2,7,149,861,586,37
2012-02-26,201209,75,85,138,39,817,7,420,230,222,767,677,98,1708,565,161,1876,745,216,5653,1069,148,2,7,149,1045,615,49
2012-03-04,201210,91,63,99,37,807,16,446,231,227,906,662,108,1797,626,154,2046,886,207,6927,1303,214,6,3,149,1052,606,60
2012-03-11,201211,102,49,98,64,780,6,472,266,337,1156,962,134,1952,754,146,2233,843,222,6828,1413,206,0,16,219,1184,591,58
2012-03-18,201212,73,46,95,75,694,6,591,292,364,1201,1070,197,1985,1119,197,2275,913,248,8097,1443,206,7,6,225,1411,617,38
2012-03-25,201213,80,39,80,68,501,5,507,222,347,1306,1056,235,1620,911,182,2248,886,237,8464,1398,236,2,9,252,1307,561,66
2012-04-01,201214,75,41,38,32,463,11,434,152,365,1467,1277,245,1782,1192,222,2073,959,245,9083,1394,205,1,4,255,1119,464,39
2012-04-08,201215,75,41,62,60,467,13,491,192,614,1999,1624,389,1766,1255,239,2856,1192,291,11202,1715,225,6,12,410,1447,598,72
2012-04-15,201216,65,24,47,44,426,10,499,213,760,2840,1650,471,1602,1409,246,2595,1261,296,13310,2093,236,4,4,454,1564,687,65
2012-04-22,201217,75,24,47,34,327,10,412,169,728,3591,1772,471,1203,1430,204,2480,1080,272,12492,1876,218,8,12,296,1412,691,60
2012-04-29,201218,69,17,51,51,289,19,349,170,914,5092,1848,469,1186,1448,224,2340,1158,252,11259,1714,190,8,6,248,1341,777,79
2012-05-06,201219,69,16,32,47,292,10,330,153,972,6752,1499,518,971,1390,174,2180,978,255,11160,1056,151,1,11,199,1294,731,78
2012-05-13,201220,64,28,31,68,248,19,326,148,823,6666,1548,512,724,1313,163,1990,848,222,9607,1068,122,1,4,169,1238,599,39
2012-05-20,201221,62,25,57,75,223,13,273,124,747,4707,1144,374,674,998,146,1522,664,181,8114,800,147,2,4,203,1054,657,49
2012-05-27,201222,68,18,69,50,148,5,176,143,542,2954,995,290,498,795,106,1293,685,277,6528,655,93,1,3,162,939,537,46
2012-06-03,201223,72,13,52,50,143,10,142,108,402,2004,948,314,396,813,108,1048,604,213,5320,545,48,0,2,120,639,456,43
2012-06-10,201224,68,14,61,51,198,22,138,119,392,1621,792,294,382,686,101,982,687,244,4796,487,42,1,4,92,611,621,52
2012-06-17,201225,76,7,71,56,165,15,142,103,299,1061,712,243,364,688,81,731,531,260,3725,431,33,2,0,97,652,508,31
2012-06-24,201226,55,14,54,49,163,11,95,59,240,765,610,257,309,602,64,599,491,232,2856,315,32,2,0,77,569,360,27
2012-07-01,201227,55,16,70,54,139,18,97,70,187,601,600,239,306,700,88,603,364,247,2067,233,17,1,1,74,606,382,35
2012-07-08,201228,40,13,65,31,168,22,67,68,156,470,575,249,319,609,89,602,334,195,1326,175,16,0,0,52,421,301,35
2012-07-15,201229,46,10,67,31,162,20,78,79,189,368,492,237,323,657,68,615,236,196,1015,125,13,0,0,30,330,238,33
2012-07-22,201230,43,7,69,35,175,23,70,53,163,320,471,213,279,583,48,471,222,174,703,137,8,2,2,25,317,258,28
2012-07-29,201231,52,9,53,68,191,36,38,40,132,261,430,263,200,679,46,465,176,158,812,140,15,1,1,30,338,279,26
2012-08-05,201232,36,6,43,77,233,76,43,68,111,181,357,213,169,478,50,372,174,150,775,120,17,0,0,26,306,230,23
2012-08-12,201233,44,7,44,48,195,49,44,59,92,198,345,248,130,402,39,309,147,143,728,89,10,1,0,37,251,207,20
2012-08-19,201234,39,15,41,57,196,74,41,63,92,150,264,155,94,433,26,269,128,117,612,86,12,0,1,27,195,214,23
2012-08-26,201235,32,9,51,34,141,67,27,29,70,108,199,157,87,442,30,289,111,125,463,66,11,0,0,25,141,206,16
2012-09-02,201236,18,6,48,29,125,68,22,49,58,113,183,117,62,372,23,203,111,112,385,54,15,0,0,25,102,213,18
2012-09-09,201237,21,14,53,31,163,86,30,39,38,79,150,98,67,285,28,240,117,177,404,81,11,0,0,54,152,241,22
2012-09-16,201238,26,13,58,32,122,98,23,36,42,100,139,82,75,266,25,187,135,137,410,82,4,0,0,56,148,221,10
2012-09-23,201239,22,11,47,17,108,86,37,16,23,66,96,73,57,228,27,166,141,140,308,62,10,0,0,51,115,268,17
2012-09-30,201240,35,15,60,19,99,74,28,30,30,61,90,62,59,153,21,183,128,190,308,90,17,0,0,35,195,303,11
2012-10-07,201241,30,36,42,9,111,75,34,14,24,86,85,48,64,130,19,156,97,129,260,96,13,0,0,48,193,270,21
2012-10-14,201242,31,28,65,14,78,56,56,19,29,76,105,59,55,130,27,152,168,182,314,126,17,3,0,51,238,307,20
2012-10-21,201243,49,26,69,16,106,46,73,21,28,71,103,49,62,128,16,137,189,200,335,126,21,0,1,80,232,341,16
2012-10-28,201244,53,60,93,18,127,54,66,18,29,66,93,36,58,108,10,154,181,163,400,202,24,0,0,112,236,308,10
2012-11-04,201245,55,56,78,14,149,65,60,8,38,80,95,43,85,141,12,198,228,171,437,165,28,2,0,145,319,342,10
2012-11-11,201246,64,54,70,17,176,41,84,14,28,80,110,39,52,106,11,232,177,189,346,179,39,0,2,256,362,356,17
2012-11-18,201247,91,83,138,17,202,46,94,12,24,105,109,19,67,109,11,272,350,268,424,264,47,0,3,329,521,484,26
2012-11-25,201248,96,112,159,8,196,28,139,18,28,79,107,30,41,100,6,312,415,365,543,289,81,0,2,356,565,599,23
2012-12-02,201249,105,130,194,14,179,47,138,21,31,99,114,26,51,81,2,342,742,413,672,322,120,1,0,430,621,548,15
2012-12-09,201250,145,174,208,15,135,26,178,20,26,77,143,42,80,78,8,326,1138,544,760,360,262,0,5,610,764,767,31
2012-12-16,201251,154,153,156,3,91,26,115,17,23,58,121,37,49,45,5,324,1689,676,731,471,305,1,2,656,627,784,38
2012-12-23,201252,165,129,192,8,91,28,156,16,13,65,150,38,30,55,3,426,3020,851,1220,624,358,3,1,1443,967,1246,56
2012-12-30,201301,297,152,336,8,199,72,258,32,24,98,229,47,50,58,10,730,5082,1119,2109,1473,618,13,11,2688,1550,3001,196
2013-01-06,201302,527,185,474,9,287,63,314,62,50,148,264,64,53,60,8,1048,7464,1509,3157,2200,1036,19,7,4419,1922,4174,172
2013-01-13,201303,607,217,687,18,383,52,331,51,66,206,297,120,74,57,8,1302,8617,1644,3650,2938,1289,17,3,6006,1983,5071,170
2013-01-20,201304,537,218,1031,19,492,53,382,87,91,294,288,146,80,73,9,1660,8911,1836,4811,3762,1554,11,12,7305,2355,5293,223
2013-01-27,201305,671,192,1030,12,554,68,387,90,101,373,322,192,67,73,3,1941,9794,1752,5280,4760,2293,4,12,7594,2169,6197,218
2013-02-03,201306,633,164,870,11,394,51,379,106,64,331,237,187,88,88,16,2001,10391,1874,5321,5402,2619,20,14,6246,1890,5437,232
2013-02-10,201307,658,165,847,12,535,65,423,125,128,317,306,236,100,80,15,2531,13151,2333,7175,6250,2918,13,16,5596,1893,5896,293
2013-02-17,201308,524,171,1058,14,532,58,451,159,144,478,380,258,121,103,11,3689,19208,3217,11653,9474,3595,28,35,5322,1941,8040,468
2013-02-24,201309,499,135,906,15,580,68,497,178,205,583,460,276,142,138,13,3898,25738,4015,14117,12700,4018,19,44,4817,2262,8872,544
2013-03-03,201310,468,115,904,12,430,97,381,155,178,672,408,315,138,114,17,4306,28188,4067,15945,15286,4585,18,35,4819,1772,8061,568
2013-03-10,201311,495,98,823,13,434,90,411,113,173,700,371,335,177,107,6,4359,34886,4310,18903,19087,5446,16,45,3959,1764,7792,763
2013-03-17,201312,339,95,811,12,465,87,327,89,174,574,411,258,203,192,11,4198,38598,3663,17598,18943,5412,17,31,3347,1480,7069,965
2013-03-24,201313,203,78,666,7,392,100,325,87,136,586,448,321,213,166,11,3402,32135,3511,15974,15205,4418,16,26,2552,1186,5617,905
2013-03-31,201314,207,60,832,12,431,117,355,158,179,928,622,407,280,196,16,3552,36697,3635,17739,18661,4983,27,45,2532,1304,6124,1245
2013-04-07,201315,183,37,745,12,429,103,322,166,240,1123,699,441,358,262,24,3258,37136,3305,17899,18793,4628,21,25,2208,1111,6056,1363
2013-04-14,201316,144,40,614,12,370,110,335,167,206,1151,632,485,365,249,14,3086,30623,3548,13879,16849,4428,19,33,2106,1069,5695,1237
2013-04-21,201317,109,26,411,19,242,56,319,150,171,1205,577,449,364,236,31,2342,19862,2995,9568,11461,2976,13,21,1431,755,4441,1119
2013-04-28,201318,89,25,444,22,239,33,236,125,127,1151,626,508,374,330,9,1852,11946,2788,7132,8527,2149,8,15,1029,669,3770,1060
2013-05-05,201319,102,32,356,38,207,50,255,100,193,1146,761,530,409,471,32,1823,8817,2596,5707,8514,2052,10,15,974,649,3368,1141
2013-05-12,201320,81,22,319,35,182,35,211,128,181,1177,627,562,332,601,37,1468,7484,2412,4357,6220,1349,7,6,937,555,3000,1130
2013-05-19,201321,68,11,333,26,127,20,201,127,195,1153,655,554,335,629,44,1207,5857,1645,3136,4116,927,4,4,573,463,2370,990
2013-05-26,201322,57,17,261,20,96,16,119,82,162,935,460,495,330,491,36,860,3281,1060,1943,2556,624,1,5,348,284,1456,845
2013-06-02,201323,45,14,309,25,62,16,118,78,192,1025,530,488,289,500,27,798,2584,1039,1485,1849,487,2,3,249,262,1450,765
2013-06-09,201324,34,14,222,28,56,12,138,89,177,1024,541,478,248,436,28,687,1938,1067,1272,1542,391,2,2,203,232,1259,631
2013-06-16,201325,27,30,181,31,33,10,98,61,165,1167,577,397,183,379,29,469,1382,925,918,1176,198,4,1,194,212,1056,422
2013-06-23,201326,34,17,181,34,26,3,63,61,138,938,540,351,168,290,17,383,810,732,703,712,99,0,2,134,177,754,348
2013-06-30,201327,36,20,172,24,33,15,41,47,139,1112,528,434,162,246,29,379,589,614,510,447,93,1,3,160,187,606,318
2013-07-07,201328,30,26,157,37,18,8,59,31,110,1067,539,380,131,234,16,343,437,447,403,409,61,0,1,107,163,504,288
2013-07-14,201329,19,14,106,20,21,8,38,33,128,943,521,323,156,231,10,319,350,519,332,328,43,0,0,86,116,440,211
2013-07-21,201330,16,7,108,12,23,10,23,46,78,812,533,387,129,226,9,245,248,386,221,163,28,0,1,43,92,298,176
2013-07-28,201331,28,9,125,16,18,10,28,35,85,939,439,318,153,230,11,251,191,344,231,181,26,2,1,66,113,328,170
2013-08-04,201332,16,3,97,16,24,18,23,48,57,901,553,297,157,223,10,226,175,318,178,166,12,0,2,46,116,350,92
2013-08-11,201333,16,4,83,18,22,12,42,55,50,774,418,278,115,198,13,163,123,250,158,153,21,2,1,44,74,328,77
2013-08-18,201334,11,5,70,17,26,12,35,36,47,666,409,312,129,172,6,177,157,269,147,126,23,0,1,26,81,332,55
2013-08-25,201335,15,3,52,19,23,11,21,35,42,456,295,228,108,192,9,153,136,221,132,111,21,0,2,36,59,243,56
2013-09-01,201336,11,3,63,33,25,7,17,44,54,403,247,223,88,222,16,165,134,244,114,104,20,0,0,31,81,273,49
2013-09-08,201337,14,4,79,27,23,7,23,52,41,323,274,176,83,191,8,187,131,193,128,104,23,1,0,39,82,300,52
2013-09-15,201338,31,11,65,24,22,8,27,34,43,272,238,139,93,208,9,172,144,218,125,129,20,0,0,29,81,273,54
2013-09-22,201339,18,2,55,26,26,11,34,16,29,204,174,122,97,223,7,163,164,175,140,110,27,0,0,32,89,231,38
2013-09-29,201340,23,5,62,15,35,5,23,22,27,192,215,127,119,181,16,154,158,163,116,85,15,0,0,38,83,330,43
2013-10-06,201341,28,6,68,21,24,13,26,22,27,179,162,121,93,158,14,129,161,170,117,102,24,0,1,23,99,327,23
2013-10-13,201342,29,9,60,20,24,5,20,13,30,131,147,105,77,184,13,126,183,171,114,130,34,1,1,31,97,387,22
2013-10-20,201343,37,3,65,16,30,7,37,14,16,137,131,91,78,176,16,127,199,203,175,145,39,1,1,37,137,390,34
2013-10-27,201344,42,13,88,27,58,8,44,20,16,129,133,78,71,168,19,118,196,147,154,149,58,0,0,50,106,348,50
2013-11-03,201345,58,20,48,15,58,9,54,17,16,127,145,73,83,168,12,116,205,140,140,161,69,1,0,57,158,417,37
2013-11-10,201346,88,23,62,8,55,10,62,15,34,142,171,84,75,187,15,170,208,158,163,150,63,0,0,54,161,536,38
2013-11-17,201347,103,30,79,19,86,4,77,17,19,209,217,59,89,191,27,194,318,220,210,195,85,4,2,75,215,676,50
2013-11-24,201348,98,12,89,19,86,3,79,20,41,175,216,55,55,188,17,149,299,177,217,215,82,1,2,84,212,631,51
